vehicle_brand,vehicle_type,battery_chemistry,drive_type,cycle_count,odometer_km,vehicle_age_years,capacity_loss_percent,cell_voltage_std,internal_resistance,thermal_runaway_risk,battery_stress_index,daily_distance,manufacturing_year,battery_capacity_kwh,depth_of_discharge,battery_failure
MG,Crossover,NMC,AWD,180.0,68873.0,4.94,7.2,0.01553,0.4262,49.9,51.3,52.5,2021.0,75.87,51.16,0
Mahindra,Truck,LFP,AWD,1.0,49269.0,5.89,0.2,0.00146,0.5179,29.8,55.7,31.4,2020.0,121.91,53.27,0
Audi,Crossover,NMC,FWD,494.0,163048.0,11.13,23.17,0.02486,,53.6,47.6,49.8,2015.0,66.07,37.42,1
Mercedes,SUV,NMC,AWD,158.0,70342.0,2.98,4.68,0.00981,0.4065,49.1,27.9,61.2,2023.0,99.07,35.68,0
Renault,,NMC,FWD,769.0,214421.0,6.04,31.32,0.02824,0.6707,71.0,4.5,126.2,2020.0,60.67,8.78,0
GM,Van,NMC,FWD,106.0,43436.0,7.06,15.23,0.01573,0.5935,66.3,96.3,17.5,2019.0,77.22,39.4,1
BYD,SUV,LFP,AWD,612.0,197534.0,11.25,7.93,0.02616,0.6219,35.7,48.7,61.8,2015.0,64.15,52.96,0
Kia,SUV,NMC,AWD,263.0,144258.0,9.82,13.22,0.01188,0.4961,51.4,47.4,44.8,2016.0,94.09,29.65,0
MG,SUV,LFP,RWD,300.0,106057.0,8.98,4.39,0.01258,0.5958,16.0,23.2,37.9,2017.0,99.51,37.08,0
Toyota,Sedan,LFP,AWD,1.0,6652.0,3.96,0.2,0.01364,0.5262,13.5,23.9,,2022.0,57.83,39.82,0
Tesla,Hatchback,NMC,FWD,1002.0,193688.0,5.85,39.56,0.02955,0.7036,72.5,11.7,111.3,2020.0,37.5,32.63,1
BYD,SUV,NMC,,1.0,500.0,7.84,0.2,0.01379,0.3663,52.3,22.9,3.0,2018.0,94.64,46.33,0
Hyundai,Truck,NMC,AWD,799.0,450000.0,11.15,41.99,0.0284,0.8708,77.7,,133.2,2015.0,121.41,33.52,1
Rivian,SUV,NMC,,71.0,4706.0,2.02,17.19,,0.6125,73.6,100.0,3.0,2024.0,81.44,28.6,0
Audi,Hatchback,NMC,FWD,113.0,38764.0,8.29,2.51,0.01405,0.3765,37.8,25.4,12.7,2018.0,53.3,43.78,0
Hyundai,Hatchback,NMC,AWD,1526.0,370815.0,9.2,56.85,0.03603,0.8924,73.1,62.6,134.8,2017.0,45.96,47.97,1
Mercedes,SUV,,FWD,254.0,141784.0,10.98,20.65,0.01797,0.5652,72.6,52.3,39.5,2015.0,94.74,65.73,1
Audi,Sedan,NMC,FWD,1047.0,272981.0,9.8,41.0,0.03366,0.717,65.6,13.1,86.5,2016.0,54.66,7.93,1
Tesla,Van,NMC,AWD,69.0,16530.0,5.05,3.59,0.00863,0.4042,42.5,32.8,17.5,2021.0,87.07,29.02,0
Tesla,Sedan,NMC,FWD,928.0,222173.0,7.95,38.68,0.0313,0.6746,80.4,83.2,90.5,2018.0,48.63,61.13,1
Volkswagen,Sedan,NMC,AWD,241.0,72128.0,7.1,,0.02073,0.4792,54.1,18.0,31.7,2019.0,65.01,33.99,0
Mercedes,Hatchback,NMC,AWD,223.0,80848.0,6.8,12.78,0.02401,0.4806,61.9,25.1,39.6,2019.0,62.18,49.96,1
GM,SUV,NMC,RWD,140.0,20668.0,3.27,21.33,0.01947,,74.3,87.0,27.2,2023.0,97.96,33.08,1
Hyundai,Crossover,NMC,FWD,1057.0,322125.0,9.99,45.37,0.03706,0.8953,83.4,84.9,108.5,2016.0,68.6,57.04,1
BYD,SUV,LFP,FWD,290.0,126872.0,8.9,6.08,0.01349,0.6298,23.9,21.1,48.2,2017.0,75.21,36.54,0
GM,Crossover,,RWD,612.0,,6.94,29.15,0.02991,0.5869,60.3,57.6,118.1,2019.0,76.99,34.72,1
Lucid,,NMC,RWD,160.0,61196.0,3.22,15.38,0.02126,0.5016,55.0,75.9,77.2,2023.0,74.8,48.68,0
Nissan,Sedan,LMO,RWD,523.0,140700.0,,44.41,0.0332,0.7777,59.0,37.1,45.6,2016.0,52.11,43.25,1
Tesla,SUV,NCA,RWD,289.0,161705.0,9.79,20.54,0.03131,0.5098,66.1,26.3,60.8,2016.0,,26.01,0
Mahindra,SUV,LFP,FWD,1.0,18084.0,9.97,0.2,0.00565,0.4898,22.3,23.2,4.8,,87.97,26.08,0
GM,Crossover,NMC,AWD,73.0,7260.0,10.71,,0.00998,0.3899,52.6,21.0,3.0,2015.0,72.66,43.48,0
Toyota,SUV,LFP,FWD,1.0,19317.0,,0.2,0.00846,0.5487,18.2,19.3,3.0,2022.0,68.08,54.09,0
Renault,Sedan,LMO,FWD,843.0,281031.0,9.17,53.48,0.03822,0.8661,64.7,44.8,103.5,2017.0,65.79,47.23,1
Ford,Crossover,NMC,RWD,93.0,30976.0,4.02,3.57,0.0163,0.3849,54.0,34.7,16.3,2022.0,92.34,49.3,0
Mercedes,Crossover,NMC,RWD,124.0,41931.0,6.27,10.63,0.01684,0.4924,48.1,35.9,21.2,2020.0,,23.15,0
Ford,Crossover,NMC,FWD,566.0,175613.0,6.07,28.29,0.02741,0.6691,58.6,45.1,,2020.0,71.34,31.11,1
GM,Crossover,NMC,RWD,303.0,78234.0,11.01,20.74,,0.5555,68.1,,22.4,2015.0,73.76,38.33,0
Kia,Hatchback,NMC,AWD,13.0,6806.0,1.97,0.2,0.00929,0.35,45.3,,3.0,,63.54,29.31,0
MG,Hatchback,LFP,FWD,,313116.0,7.22,17.13,0.01736,0.7616,25.4,52.7,144.1,2019.0,44.81,43.09,0
Mercedes,Hatchback,NCA,FWD,1.0,2191.0,6.91,0.2,0.01277,0.3132,54.0,12.9,3.0,2019.0,50.34,32.89,0
BYD,Crossover,NMC,AWD,560.0,202597.0,9.05,26.03,0.02905,0.6241,67.4,25.0,73.0,2017.0,69.02,26.55,1
Volvo,SUV,NMC,AWD,57.0,53904.0,4.27,0.2,0.01119,0.4256,49.4,28.1,49.9,2022.0,94.21,39.53,0
Toyota,,LFP,RWD,,39250.0,9.0,0.2,0.01602,0.5578,18.9,40.8,13.9,2017.0,38.38,50.39,0
Toyota,SUV,NMC,AWD,1.0,,10.09,0.2,0.01101,0.3756,49.2,12.0,,2016.0,82.99,28.66,0
Rivian,Hatchback,NMC,FWD,1081.0,233804.0,11.07,40.14,0.04218,0.6536,69.4,43.3,72.8,2015.0,43.75,44.48,1
Renault,SUV,LMO,FWD,444.0,191713.0,6.73,47.0,0.03239,0.9595,79.1,70.5,90.3,2019.0,84.55,55.55,1
Ford,SUV,NMC,AWD,663.0,287330.0,10.2,33.71,0.03783,0.6324,67.5,35.4,98.1,2016.0,97.18,41.1,1
BMW,SUV,NMC,FWD,70.0,1863.0,2.11,2.87,0.0145,0.4064,40.6,19.4,38.9,2024.0,90.49,23.06,0
Nissan,Sedan,LMO,RWD,92.0,31145.0,10.81,10.22,0.01946,0.4606,47.1,,10.4,2015.0,51.67,39.07,0
BYD,SUV,LFP,RWD,38.0,45433.0,6.71,0.2,0.01099,0.582,11.3,10.5,18.3,2019.0,86.27,36.3,0
Renault,Sedan,NMC,FWD,176.0,80535.0,6.08,12.12,0.01667,0.5183,55.1,0.0,43.5,2020.0,70.5,7.64,0
Mercedes,SUV,NMC,FWD,356.0,153465.0,7.13,14.11,0.01998,0.5359,52.0,25.6,73.1,2019.0,,42.37,0
Honda,Crossover,NMC,FWD,899.0,388456.0,10.04,39.01,,0.6883,59.8,65.4,127.0,2016.0,88.94,71.98,1
Tesla,Van,LFP,RWD,402.0,,4.19,2.38,0.01165,0.5669,12.7,22.0,94.8,2022.0,,36.39,0
Kia,Sedan,NMC,RWD,734.0,221972.0,7.89,38.79,0.03017,0.7781,82.6,90.9,,2018.0,68.43,49.74,1
MG,,NMC,AWD,310.0,135676.0,7.74,19.62,0.02791,,55.4,30.4,47.6,2018.0,83.77,28.32,1
,SUV,LMO,RWD,351.0,162308.0,11.0,41.99,0.03635,0.8726,64.1,64.9,46.0,2015.0,94.86,64.97,1
Ford,Hatchback,LFP,FWD,255.0,83108.0,9.05,0.88,0.01222,0.5935,30.9,,32.7,,49.54,39.64,0
BYD,SUV,,RWD,646.0,275622.0,10.89,,0.00617,0.6479,21.9,61.0,87.1,2015.0,82.05,47.54,0
Kia,SUV,NMC,FWD,430.0,156792.0,10.99,18.73,,0.4995,50.1,14.6,44.6,2015.0,85.46,39.04,0
Ford,Hatchback,NMC,FWD,1171.0,325004.0,,50.04,0.03725,0.81,71.3,67.6,132.7,2018.0,54.84,58.1,1
Ford,Sedan,LFP,AWD,138.0,14279.0,10.08,2.58,0.01602,0.5523,26.4,12.0,3.0,2016.0,61.09,14.51,0
Nissan,SUV,NMC,FWD,352.0,175391.0,10.17,15.71,0.0152,0.5321,44.6,45.6,57.2,2016.0,87.61,70.0,0
Audi,Crossover,NMC,FWD,797.0,,10.09,36.91,0.0285,0.7059,60.7,57.9,103.9,2016.0,79.71,53.34,1
Volkswagen,SUV,NMC,FWD,12.0,28851.0,2.25,0.2,0.00817,0.4046,46.9,22.9,47.3,2024.0,87.83,23.45,0
Ford,SUV,LFP,RWD,139.0,11290.0,2.75,4.27,0.00938,0.6183,20.4,60.2,44.3,2023.0,96.49,39.33,0
Toyota,Hatchback,NMC,FWD,1348.0,290235.0,,45.42,0.03203,0.8235,71.3,56.2,139.3,2019.0,43.26,35.44,1
Tesla,Van,,FWD,152.0,61118.0,10.95,,0.02209,0.4022,68.4,47.0,16.0,,,51.6,1
GM,Crossover,NMC,AWD,980.0,295457.0,10.0,47.88,0.03915,0.9131,,91.8,96.3,2016.0,58.11,54.81,1
Nissan,Sedan,NMC,AWD,928.0,263948.0,11.03,40.54,0.03275,0.7199,61.4,26.4,79.6,2015.0,,27.12,1
Kia,Van,NMC,FWD,607.0,267498.0,10.99,32.96,0.03466,0.7523,65.4,56.0,82.6,2015.0,88.07,42.87,1
Volkswagen,Sedan,NMC,AWD,1078.0,333002.0,10.15,46.85,0.04107,0.7296,73.2,41.1,108.5,2016.0,61.33,31.4,1
Mercedes,Sedan,NMC,FWD,1008.0,385550.0,9.92,35.77,0.03217,0.7143,58.5,48.7,127.4,2016.0,79.22,35.87,1
Mercedes,Sedan,NMC,FWD,577.0,210753.0,9.91,30.35,0.02872,0.6185,60.8,49.3,75.7,2016.0,,54.15,1
Tesla,SUV,NCA,AWD,298.0,159173.0,4.96,24.59,0.0302,0.4841,75.7,52.8,109.0,2021.0,91.43,55.99,1
Volkswagen,Hatchback,,FWD,183.0,37911.0,2.99,9.67,0.01556,0.4136,52.6,29.3,61.5,2023.0,40.13,19.39,0
Volkswagen,Sedan,NMC,FWD,1056.0,416967.0,11.02,44.2,0.03382,0.7579,66.2,46.1,122.4,2015.0,80.13,47.75,1
Audi,Truck,NCA,RWD,457.0,254878.0,10.99,32.81,0.02904,0.556,72.8,46.7,79.5,2015.0,117.51,46.52,1
Toyota,SUV,NMC,AWD,65.0,22307.0,8.11,4.48,0.01195,0.3843,46.7,32.9,5.4,2018.0,91.66,39.06,0
Nissan,Hatchback,NMC,FWD,1151.0,286398.0,10.12,42.54,0.03417,0.7811,66.3,36.5,95.5,2016.0,47.31,41.09,1
Renault,Hatchback,NMC,FWD,145.0,38197.0,8.04,6.78,0.01384,0.4583,50.5,40.1,15.3,2018.0,58.23,49.68,0
Tesla,Crossover,NCA,FWD,90.0,19777.0,7.01,0.2,0.01487,,62.2,7.2,3.0,,76.25,28.82,0
Renault,Hatchback,NMC,FWD,155.0,57270.0,5.35,10.68,0.01909,0.4921,,46.3,34.3,2021.0,,40.51,0
Toyota,Crossover,NMC,RWD,,181137.0,10.09,31.34,0.02605,0.6152,57.7,61.9,54.9,,74.79,40.91,1
Tesla,Van,NMC,FWD,987.0,421094.0,11.23,43.39,0.03121,,59.4,38.0,125.6,2015.0,89.35,18.95,1
Rivian,Sedan,NMC,FWD,674.0,193216.0,10.23,33.78,0.03318,0.7037,61.5,16.4,57.4,2016.0,56.41,32.03,0
Kia,Hatchback,LFP,FWD,38.0,30331.0,3.81,5.35,0.00908,0.6783,32.8,33.5,25.3,2022.0,57.82,23.26,0
Nissan,,LMO,AWD,,230454.0,7.01,57.49,0.0333,1.0473,80.6,81.9,106.3,2019.0,66.38,50.66,1
Mahindra,SUV,LTO,FWD,1.0,85201.0,8.1,2.28,0.01589,0.2337,11.0,39.7,39.0,2018.0,91.55,33.89,0
Toyota,Hatchback,NMC,AWD,1163.0,181501.0,9.77,52.77,0.03673,0.9669,78.0,74.1,63.8,2016.0,30.9,44.47,1
BYD,Sedan,LFP,RWD,1217.0,362951.0,8.06,15.65,0.02202,0.7482,32.6,38.1,149.2,2018.0,61.12,39.65,0
Nissan,Hatchback,NMC,FWD,1356.0,216786.0,8.79,53.54,0.03758,0.8371,73.0,65.8,76.4,2017.0,32.76,58.95,1
Lucid,Crossover,NMC,FWD,783.0,315548.0,9.09,35.25,0.03411,0.6576,60.7,29.2,118.0,2017.0,80.83,37.21,1
Toyota,Crossover,NMC,FWD,790.0,295397.0,9.93,37.92,0.027,0.6992,57.4,44.3,105.5,,76.49,45.01,1
Tesla,Sedan,NCA,FWD,837.0,320038.0,,44.71,0.0375,0.7671,91.1,66.4,,2015.0,72.5,35.99,1
BYD,SUV,LFP,RWD,20.0,40995.0,9.16,2.5,0.01139,0.6407,15.7,32.2,15.6,,101.89,33.8,0
Tesla,Sedan,NMC,FWD,646.0,198445.0,,32.95,0.02227,0.6472,57.5,70.8,57.0,2015.0,64.83,65.13,1
BMW,Sedan,NMC,AWD,379.0,94191.0,8.01,13.7,0.01726,0.4656,46.0,15.5,37.2,2018.0,53.26,42.55,0
Nissan,Hatchback,NMC,RWD,1512.0,356941.0,10.06,55.76,0.04153,0.8637,75.8,,115.4,2016.0,45.47,37.2,1
Hyundai,SUV,NMC,AWD,752.0,330020.0,7.14,,0.03703,0.7285,80.8,77.5,148.1,2019.0,84.11,53.43,1
BYD,SUV,LFP,FWD,92.0,10369.0,2.93,0.2,0.0092,0.5706,15.4,21.6,11.6,2023.0,,43.3,0
BMW,Sedan,NMC,RWD,665.0,237700.0,9.0,32.86,,0.6299,71.7,37.0,90.4,2017.0,66.01,38.19,1
Audi,Hatchback,NMC,FWD,767.0,168766.0,5.89,36.8,0.03814,0.7482,76.4,53.3,,2020.0,40.08,31.17,1
BMW,Sedan,,AWD,802.0,279308.0,10.11,38.78,0.02393,0.6841,67.4,,90.8,2016.0,68.95,51.87,1
Volkswagen,Sedan,NMC,FWD,113.0,41860.0,7.96,12.66,0.01769,0.5004,63.3,49.2,13.4,2018.0,66.2,31.04,0
Rivian,Sedan,NCA,FWD,521.0,134948.0,9.89,38.33,0.02568,0.6116,77.4,32.4,48.1,2016.0,53.25,40.4,1
Tesla,Sedan,LFP,FWD,1474.0,450000.0,10.83,19.06,0.02004,0.778,27.7,66.3,135.2,2015.0,61.58,35.26,1
Ford,Sedan,NMC,AWD,898.0,307141.0,9.3,41.79,0.03531,0.7083,57.4,37.8,106.8,2017.0,70.8,30.06,1
Renault,SUV,NMC,FWD,843.0,404638.0,10.98,43.7,0.03498,0.678,68.1,88.0,122.8,2015.0,101.88,68.53,1
BYD,Hatchback,NMC,AWD,277.0,87449.0,7.71,16.54,0.01392,0.5171,47.2,26.8,29.7,2018.0,64.32,32.73,0
,Crossover,NMC,AWD,1158.0,450000.0,11.01,44.45,0.03421,0.7208,60.7,4.6,144.1,,75.76,6.74,1
Renault,Truck,LMO,RWD,374.0,252051.0,10.17,41.7,0.03779,0.8242,61.9,26.0,85.5,2016.0,138.36,35.21,1
BYD,Crossover,LFP,FWD,135.0,58654.0,6.07,0.2,0.01249,0.5732,20.5,33.3,31.7,2020.0,,44.74,0
,Crossover,LFP,AWD,21.0,,9.7,0.2,0.01662,0.6146,28.8,19.2,,2016.0,62.27,22.09,0
Tesla,Van,NCA,RWD,649.0,271168.0,10.08,34.75,0.03431,0.5962,75.5,15.5,87.9,2016.0,83.28,36.85,1
,Sedan,NMC,FWD,1103.0,404099.0,9.92,44.93,0.03005,0.7843,70.2,29.7,135.7,2016.0,73.05,36.8,1
Volvo,Crossover,NMC,RWD,77.0,48881.0,1.88,9.02,0.01473,0.4939,65.1,58.3,,2024.0,82.02,36.75,0
BYD,Hatchback,LFP,RWD,167.0,8314.0,4.27,0.2,0.00706,0.5343,24.1,40.9,18.7,2022.0,46.92,51.28,0
Toyota,Hatchback,NMC,FWD,811.0,181198.0,4.95,40.54,0.02752,0.6547,72.7,90.5,127.9,2021.0,46.71,40.26,1
BYD,SUV,LFP,FWD,578.0,242209.0,8.97,10.2,0.01154,0.7017,30.7,30.4,91.4,2017.0,96.7,34.66,0
Nissan,Truck,LMO,AWD,239.0,140898.0,7.75,30.54,0.02407,0.6908,57.1,12.4,63.7,2018.0,127.61,34.12,0
Renault,Crossover,NMC,FWD,308.0,80257.0,9.98,17.49,0.01964,0.5047,53.9,0.7,29.1,2016.0,59.86,26.34,0
Ford,Sedan,LFP,AWD,156.0,32593.0,2.14,1.48,0.00965,0.5638,12.2,26.4,,2024.0,65.47,44.09,0
BYD,SUV,NMC,FWD,76.0,36128.0,3.09,12.18,0.01617,0.5539,64.1,83.7,39.5,2023.0,95.33,38.76,0
Mahindra,Crossover,LTO,FWD,1.0,8648.0,5.98,0.2,0.00852,0.262,,0.2,3.0,2020.0,66.16,21.49,0
Honda,Crossover,NMC,FWD,,73262.0,,20.58,0.02384,0.6342,68.5,68.4,28.8,2018.0,60.67,26.65,1
Nissan,Hatchback,LMO,FWD,1327.0,248166.0,8.01,64.84,0.04675,1.0042,64.2,65.1,105.2,2018.0,37.42,53.64,1
GM,Sedan,NMC,FWD,182.0,65045.0,4.81,,0.01343,0.5548,55.3,57.9,51.0,2021.0,64.42,46.33,0
Renault,Hatchback,LMO,AWD,273.0,81752.0,10.02,27.94,0.02539,0.6409,50.6,23.3,26.2,2016.0,55.73,51.17,0
Ford,Hatchback,NMC,FWD,1412.0,299095.0,9.11,51.0,0.03823,0.8309,64.7,,110.9,2017.0,41.92,71.83,1
,Hatchback,LFP,RWD,20.0,18133.0,4.12,5.75,0.01088,0.6214,22.7,32.6,20.2,2022.0,38.25,17.02,0
Rivian,Truck,NMC,AWD,123.0,111107.0,6.8,9.15,0.01236,0.5614,43.4,62.6,54.1,2019.0,120.85,52.11,0
Toyota,Van,NMC,FWD,561.0,246351.0,9.28,32.51,0.03196,0.6292,65.6,48.3,88.3,2017.0,85.71,45.74,1
Audi,Van,NMC,RWD,274.0,106624.0,10.96,10.67,0.01624,0.4431,44.3,0.0,27.7,,88.02,22.02,0
Hyundai,SUV,NMC,RWD,75.0,17224.0,11.04,8.53,0.01697,0.5002,68.6,82.2,3.0,2015.0,63.67,83.06,0
Rivian,SUV,NCA,AWD,554.0,197089.0,5.87,36.79,,0.6358,85.4,79.0,113.5,2020.0,79.57,52.61,1
Ford,Sedan,LFP,AWD,287.0,134795.0,10.95,14.3,0.01464,0.8993,32.8,79.1,40.8,2015.0,69.54,26.64,1
Tesla,Hatchback,NCA,AWD,445.0,114649.0,3.28,29.53,0.02058,0.6572,79.5,50.6,109.4,2023.0,43.68,33.34,0
MG,SUV,LFP,AWD,30.0,16098.0,10.16,12.98,0.01958,0.8436,38.2,100.0,6.9,2016.0,85.42,43.1,1
Volvo,Hatchback,NMC,AWD,264.0,77008.0,10.79,11.26,0.01697,0.501,54.3,22.6,25.2,2015.0,43.24,,0
Nissan,Hatchback,LMO,FWD,1271.0,325888.0,11.17,68.91,0.04736,1.0988,88.7,80.4,100.2,2015.0,51.01,57.14,1
Volkswagen,Hatchback,NMC,FWD,450.0,116818.0,7.92,29.82,0.02519,0.7645,80.9,74.8,45.0,2018.0,,34.14,1
Volvo,Hatchback,NMC,FWD,76.0,8801.0,3.46,2.24,0.01286,0.3996,54.8,23.7,17.1,2023.0,52.0,46.19,0
Tesla,Crossover,NCA,FWD,479.0,164916.0,10.67,34.11,0.03185,0.6164,82.5,67.6,51.1,2015.0,77.44,40.22,1
Hyundai,Crossover,NMC,AWD,1074.0,346982.0,9.27,39.18,,0.7244,60.0,48.9,121.5,,68.61,,1
Tesla,Hatchback,NCA,FWD,225.0,81350.0,5.8,14.47,0.01301,0.4383,62.8,9.9,52.5,2020.0,64.82,32.53,0
Tesla,SUV,NCA,FWD,656.0,304908.0,7.87,39.12,0.02762,0.6004,79.3,49.6,,2018.0,100.9,45.4,1
Lucid,SUV,NMC,FWD,88.0,9397.0,1.9,2.61,0.00863,0.436,50.4,72.1,5.9,2024.0,94.08,51.43,0
Tesla,Hatchback,NCA,RWD,1155.0,218514.0,6.13,53.53,0.04026,0.7707,100.0,72.1,112.9,2020.0,37.96,61.56,1
GM,Van,LFP,RWD,419.0,214220.0,7.96,4.24,0.01525,0.6195,22.8,50.3,88.7,2018.0,89.57,43.83,0
Ford,Crossover,NMC,AWD,1100.0,385647.0,9.75,44.81,0.03548,0.7427,66.5,30.5,134.0,2016.0,68.55,,1
Ford,Hatchback,NMC,AWD,561.0,137097.0,4.87,31.25,0.02309,0.6688,51.2,48.0,95.0,2021.0,52.65,16.18,1
Ford,Sedan,,AWD,504.0,156641.0,10.07,5.92,0.02029,0.6704,13.5,35.4,55.7,2016.0,70.94,37.93,0
Nissan,Hatchback,NMC,FWD,233.0,75109.0,9.9,23.54,0.03106,0.6567,76.7,46.3,28.5,2016.0,,16.24,1
Mercedes,Sedan,NMC,FWD,2068.0,389983.0,10.77,,0.04208,0.8417,,50.0,122.2,2015.0,38.45,57.82,1
Mercedes,SUV,NMC,FWD,674.0,276190.0,6.87,31.03,0.0267,0.6364,65.0,49.1,134.7,2019.0,86.19,37.27,1
Nissan,SUV,LMO,AWD,655.0,280113.0,7.04,54.31,0.04237,0.9368,60.2,68.9,125.7,2019.0,86.4,63.17,1
BMW,Hatchback,,AWD,,143440.0,6.13,,0.01599,0.6064,70.6,8.0,75.4,2020.0,,38.41,0
,Sedan,NMC,AWD,662.0,256362.0,10.78,30.08,0.03026,0.6206,,46.5,82.1,2015.0,74.71,40.2,1
,Van,NMC,FWD,626.0,,7.09,34.57,0.03093,0.6897,66.3,60.4,132.4,2019.0,93.06,45.85,1
Kia,Crossover,LFP,FWD,76.0,34809.0,7.09,1.39,0.01556,0.6281,31.4,38.2,20.3,2019.0,81.33,52.75,0
Renault,Van,NMC,FWD,201.0,68219.0,6.86,10.49,0.02773,,60.6,0.0,38.1,2019.0,89.03,21.01,0
Tesla,Sedan,NMC,AWD,54.0,11446.0,3.9,7.24,0.01696,0.4103,60.0,26.6,17.6,2022.0,65.39,,0
Hyundai,SUV,NMC,FWD,377.0,176853.0,5.83,28.74,0.0367,0.6773,77.3,100.0,97.7,2020.0,92.03,65.7,1
BMW,Sedan,NMC,FWD,986.0,287866.0,8.87,41.44,0.04002,0.732,71.1,53.4,105.4,2017.0,63.15,65.31,1
Renault,SUV,LMO,FWD,484.0,258537.0,7.76,45.92,0.03269,0.8283,58.2,40.1,106.8,2018.0,107.18,36.52,0
GM,Crossover,NMC,RWD,1.0,16250.0,1.9,0.22,0.00699,0.3638,49.1,27.1,32.3,2024.0,,33.54,0
Ford,Sedan,NMC,FWD,554.0,216231.0,8.94,,0.02493,0.58,62.6,47.1,74.1,2017.0,72.1,49.33,1
Volvo,Hatchback,NMC,RWD,198.0,45600.0,2.0,6.0,0.01117,0.438,57.0,16.3,58.4,2024.0,52.31,45.11,0
Volkswagen,Sedan,NMC,AWD,631.0,207838.0,11.46,28.69,0.03262,0.5659,63.9,45.6,62.9,2015.0,73.05,,1
GM,SUV,NMC,AWD,192.0,80492.0,6.99,19.16,0.02514,0.6795,73.9,73.4,37.6,2019.0,98.16,19.01,1
Kia,Sedan,NMC,FWD,951.0,417588.0,10.88,41.46,0.04059,,69.5,64.2,130.2,2015.0,85.71,52.51,1
Tata,SUV,LFP,RWD,210.0,89785.0,9.74,0.2,0.01066,0.5399,22.7,29.1,35.1,2016.0,90.84,50.79,0
Tesla,Hatchback,NCA,RWD,397.0,121050.0,3.62,36.11,0.02841,0.6587,94.9,73.9,112.8,2022.0,53.88,18.08,1
Hyundai,SUV,NMC,RWD,430.0,200898.0,10.0,23.73,0.02241,0.5814,69.2,57.3,67.7,2016.0,95.42,38.27,1
Hyundai,SUV,NMC,FWD,752.0,311151.0,7.87,35.95,0.02932,0.6754,61.3,59.5,135.3,2018.0,89.9,41.46,0
Toyota,SUV,LFP,RWD,33.0,28692.0,2.28,0.2,0.01207,0.5067,22.8,14.1,23.9,2024.0,91.33,42.5,0
Renault,Hatchback,NMC,RWD,765.0,208139.0,7.22,35.44,0.02409,0.68,57.7,46.2,97.2,2019.0,54.3,44.43,0
Renault,Truck,NMC,AWD,345.0,211203.0,8.86,22.22,0.02521,0.5579,65.2,35.2,80.3,2017.0,120.58,28.33,1
Tata,SUV,LTO,RWD,304.0,182546.0,5.15,10.67,0.01721,0.3213,31.0,69.1,116.3,2021.0,93.01,37.56,0
BYD,Sedan,LFP,FWD,757.0,214306.0,9.86,12.93,0.01379,0.6448,42.8,37.0,73.5,2016.0,69.2,42.37,0
Volkswagen,Truck,NMC,FWD,146.0,58074.0,2.03,8.04,0.00704,0.4782,49.6,20.9,102.8,2024.0,112.42,25.06,0
BMW,Hatchback,,FWD,282.0,59261.0,5.93,20.34,0.02314,0.5014,64.9,34.2,40.3,2020.0,46.35,,0
Renault,SUV,LMO,FWD,450.0,167989.0,6.01,48.15,0.03583,0.838,65.2,42.8,96.8,2020.0,76.71,33.34,1
Renault,Crossover,LMO,AWD,258.0,104766.0,2.84,33.67,0.02444,0.7125,48.2,73.2,119.9,2023.0,74.25,61.27,1
Hyundai,Hatchback,NMC,,613.0,134409.0,5.95,28.73,0.02997,0.6408,64.7,21.2,71.9,2020.0,42.07,14.56,0
BYD,Sedan,NMC,FWD,190.0,52899.0,9.0,11.26,0.01532,0.4434,57.3,52.5,19.4,,53.64,42.02,0
Volkswagen,Crossover,NMC,FWD,28.0,7122.0,10.79,0.41,0.01693,0.4055,51.7,34.6,3.0,,62.14,39.18,0
Renault,SUV,NMC,RWD,831.0,324547.0,11.1,39.11,,0.687,74.3,44.5,98.2,2015.0,80.61,43.06,1
Toyota,SUV,NMC,FWD,724.0,310766.0,9.89,,0.02802,0.664,74.8,,104.8,2016.0,85.18,,1
GM,SUV,NMC,FWD,905.0,398028.0,9.93,,0.03913,0.7179,69.3,27.3,132.8,2016.0,92.6,22.33,1
Tesla,Crossover,NMC,AWD,610.0,185642.0,6.88,30.92,0.02998,0.7387,71.0,52.0,91.2,2019.0,69.5,46.13,1
BYD,Truck,NMC,FWD,322.0,156282.0,10.09,19.67,0.02453,0.5196,58.7,31.1,48.6,2016.0,126.62,35.58,1
Renault,Hatchback,NMC,FWD,813.0,189853.0,9.11,40.64,,0.7004,64.4,52.5,65.6,2017.0,47.53,39.43,1
Hyundai,SUV,NMC,FWD,311.0,117782.0,10.95,23.04,0.03511,0.6322,65.5,22.6,37.4,2015.0,81.46,24.08,1
Tesla,SUV,NCA,FWD,466.0,146868.0,10.93,28.12,0.02006,0.5338,66.9,55.4,43.2,2015.0,79.81,49.03,1
Volvo,Hatchback,NMC,FWD,427.0,80174.0,5.11,24.26,0.02116,0.6066,67.1,42.9,47.8,2021.0,46.13,50.15,0
BYD,Crossover,LFP,AWD,136.0,25625.0,3.16,,0.01278,0.6229,25.4,70.4,23.2,2023.0,68.92,72.66,0
Tesla,Sedan,NCA,AWD,173.0,78182.0,5.01,12.46,0.01972,0.3839,70.5,43.5,43.4,2021.0,83.55,46.24,0
Kia,Sedan,NMC,RWD,458.0,154170.0,7.89,29.08,0.02941,0.7152,76.8,71.8,58.7,2018.0,63.73,35.45,1
